individualCount,Tv290C
1343,26.23257083
1337,25.47444167
1346,26.37790833
1346,26.52715833
1352,26.5631625
1279,26.1396375
1329,26.48692917
1323,26.11397083
1298,25.31977083
1307,25.61470833
1307,25.78854167
1315,25.78834167
1286,25.32960417
1267,25.27341667
1253,25.31976667
1284,25.4012625
1295,25.88374583
1286,25.5802125
1247,25.209025
1209,25.35380417
1276,25.87310417
1248,25.68412917
1283,25.97164583
1327,26.52652917
1327,26.6303375
1563,26.7268
1426,26.2953625
1379,25.6077
1307,25.40266042
1287,25.23725521
1287,25.19809583
1264,25.10324479
1257,25.10779479
1239,25.00015833
1234,24.91315833
1274,25.64374896
1253,25.83722188
1294,25.88345729
1294,23.90895625
1193,22.97506563
1172,22.91399688
962,21.16107188
935,21.10811354
897,21.25625729
973,26.30238438
1149,26.41763542
1174,26.54213646
1294,26.62385521
931,31.1972
729,31.77542917
628,31.39303229
437,31.35528438
426,30.28190625
415,30.13316458